,Cluster ID,Phrases,CESI Label,CoT Label,EDC Label,Best Label,Best Source,Explanation
0,0,"- are people not actively searching for work due to
- are people not started searching for work because of",are people not actively searching for work due to,"""People not actively seeking employment due to certain reasons""",are people not actively searching for work due to,"""People not actively seeking employment due to certain reasons""",CoT,"This label is clear and explicitly states that the reason for not seeking employment is a key part of the relationship. It also uses more general language (""seeking employment"" instead of ""searching for work"") which can encompass a wider range of scenarios. Additionally, it implies that there are specific reasons behind the lack of job search activity, which aligns with the semantic intent of the original phrases. The use of ""certain reasons"" broadens the semantic coverage to include any potential reason, making it more generally applicable than the other two options."
1,1,"- share increase expected after Dutch transition to
- share increase expected after Dutch transition from",share increase expected after Dutch transition to,"""Expected share increase after Dutch transition""",share increase expected after Dutch transition to,"""Expected share increase after Dutch transition""",CoT,"This label is chosen because it captures the essence of both phrases by omitting the specific prepositions ""to"" and ""from,"" which are context-dependent. By excluding these prepositions, the label maintains broad semantic coverage and can be applied to various contexts where the direction of the transition (to or from) is not specified. It is clear and concise, reflecting the expected outcome (share increase) after a Dutch transition without limiting the scope to a particular direction of that transition."
2,2,"- scepticism remained minority attitude in
- scepticism towards policymaking",scepticism towards policymaking,"""Scepticism towards""",scepticism remained minority attitude in,"""Scepticism towards""",CoT,"The label ""Scepticism towards"" is broad enough to encompass both the specific instance of ""scepticism towards policymaking"" and the more general idea of ""scepticism remained minority attitude in"". It captures the essence of scepticism being directed at something without being overly specific or tied to a particular context, making it more generally applicable. The other options are either too specific (CESI's ""scepticism towards policymaking"") or too verbose and context-specific (EDC's ""scepticism remained minority attitude in"")."
3,3,"- data location old scheme
- data location enhanced scheme",data location old scheme,Data location scheme,data location old scheme,Data location scheme,CoT,"The label ""Data location scheme"" chosen by CoT is the most appropriate as it encompasses both the ""old"" and ""enhanced"" schemes without specifying one over the other. It is broad enough to cover any type of data location scheme, making it more universally applicable and semantically representative of the group of phrases. The other two labels are limited by the inclusion of ""old,"" which does not account for the ""enhanced"" scheme."
4,4,"- claim pension while working
- work and claim pensions",work and claim pensions,"""Claiming pension while employed""",claim pension while working,"""Claiming pension while employed""",CoT,"The label ""Claiming pension while employed"" chosen by CoT system provides the clearest and most comprehensive description of the relationship. It explicitly states the condition of being employed while claiming a pension, which covers the semantics of both ""claim pension while working"" and ""work and claim pensions"". The use of the gerund form ""Claiming"" also implies an ongoing action, which is applicable to the general case of individuals who might be in this situation. Additionally, the term ""employed"" is more formal and universally understood than ""working"", which can imply a broader range of activities beyond formal employment."
5,5,"- suggests role as financial centres
- size in financial centres",suggests role as financial centres,Attributes of Financial Centres,suggests role as financial centres,Attributes of Financial Centres,CoT,"The label ""Attributes of Financial Centres"" is broader and more inclusive, capturing the essence of both phrases given. It suggests that the relations pertain to various characteristics or features of financial centres, which can include roles, sizes, and potentially other attributes not explicitly mentioned. The other two labels are identical and specific to the role aspect, which does not fully encompass the notion of size mentioned in the second phrase. Therefore, ""Attributes of Financial Centres"" is the most representative and general label for the group of phrases."
6,6,"- members sharing dense matrix of trade
- share a dense matrix of bilateral trade with",members sharing dense matrix of trade,"""Entities involved in dense bilateral trade""",members sharing dense matrix of trade,"""Entities involved in dense bilateral trade""",CoT,"This label is chosen because it captures the essence of the original phrases while providing a clear and general description. It uses the term ""entities"" which is broad and inclusive, covering any possible members that could be involved in trade. The phrase ""involved in dense bilateral trade"" accurately reflects the concept of a ""dense matrix of bilateral trade,"" indicating a significant level of trade activity between the entities. It also implies reciprocity, which is a key aspect of the original phrases. Overall, this label is succinct, semantically rich, and applicable to a wide range of entities that could be part of such a relationship in a knowledge graph."
7,7,"- are intermediators in
- became intermediaries in",are intermediators in,"""Serve as intermediaries in""",are intermediators in,"""Serve as intermediaries in""",CoT,"The phrase ""Serve as intermediaries in"" captures the essence of both provided phrases while also being grammatically correct and clear in its meaning. It implies the role of an entity acting as an intermediary within a process or transaction, which is a broader and more inclusive representation of the semantic concept shared by the original phrases. The use of ""serve as"" is more commonly used and understood than ""are intermediators in,"" making it more suitable for general applicability."
8,8,"- included commercial papers in
- continued trades with corporate commercial paper",included commercial papers in,Trading commercial papers,included commercial papers in,Trading commercial papers,CoT,"The label ""Trading commercial papers"" is more inclusive and representative of both phrases provided. It captures the essence of an ongoing activity involving commercial papers, which is implied by both ""included commercial papers in"" and ""continued trades with corporate commercial paper."" The term ""trading"" suggests the exchange or dealing of commercial papers, which can encompass both inclusion in a portfolio and the continuation of trades. The other two labels are more specific and do not cover the broader activity implied by ""continued trades with corporate commercial paper."""
9,9,"- euro area HICP with without OOH related
- euro area HICPX 2012 to 2020",euro area HICP with without OOH related,"""Euro area inflation-related statistics""",euro area HICP with without OOH related,"""Euro area inflation-related statistics""",CoT,"The chosen label captures the essence of both phrases by referring to inflation-related statistics in the euro area, which is the broader category under which the HICP (Harmonised Index of Consumer Prices) falls. The label is clear and has broad semantic coverage, encompassing both the specific HICP data with or without owner-occupied housing (OOH) and the HICPX data from 2012 to 2020. It avoids the redundancy of the phrase ""with without OOH related"" and is more general and applicable to a wider range of related data."
10,10,"- has median return on common equity
- return on common equity hovers around",has median return on common equity,"""Measurement of Return on Common Equity""",has median return on common equity,"""Measurement of Return on Common Equity""",CoT,"The chosen label encompasses both the concept of a median value and the idea of hovering around a certain point, as it implies a measurement which can vary. It is clear and broadly covers the semantic meaning of the given phrases by focusing on the measurement aspect rather than a specific statistical metric (median). This makes it generally applicable to various contexts where the return on common equity is discussed or analyzed."
11,11,"- ECR covers
- has ECR level nearly three times of
- national ETS covers",ECR covers,"""represents in terms of system or level""",ECR covers,"""represents in terms of system or level""",CoT,"The chosen label ""represents in terms of system or level"" is the most inclusive and abstract, capturing the essence of the different phrases provided. It reflects the idea that there is a representation or equivalence in terms of a system (such as ECR or ETS) or a level (such as the ""level nearly three times of""). The other two options, ""ECR covers,"" are too specific and only accurately represent one of the given phrases, failing to encompass the broader semantic meaning implied by the other phrases."
12,12,"- roadmap includes
- has roadmap outlined by",has roadmap outlined by,"""Entity has a roadmap""",roadmap includes,"""Entity has a roadmap""",CoT,"The label ""Entity has a roadmap"" is the most general and semantically inclusive of the three options. It captures the essence of both phrases (""roadmap includes"" and ""has roadmap outlined by"") by indicating that an entity possesses a roadmap, without specifying the manner of inclusion or outlining. This label is clear, concise, and applicable to a wide range of scenarios where an entity is associated with a roadmap, making it the best choice for a canonical label."
13,13,"- transfer fraction is three times of
- transfer factor is ten times of",transfer fraction is three times of,"""Transfer quantity is a multiple of""",transfer fraction is three times of,"""Transfer quantity is a multiple of""",CoT,"The label ""Transfer quantity is a multiple of"" is the most inclusive and semantically broad of the three options. It captures the essence of both phrases, which describe a transfer amount being a multiple (three times or ten times) of another quantity. This label is clear, generalizes well to other similar relations that may involve different multiples, and avoids the specificity of the exact multiple, making it applicable to a wider range of scenarios within a knowledge graph."
14,14,"- out of housing wealth in
- out of financial wealth found as",out of housing wealth in,"""Deriving from specific forms of wealth""",out of housing wealth in,"""Deriving from specific forms of wealth""",CoT,"The chosen label encompasses both the concept of housing wealth and financial wealth, indicating a source or origin relationship that is applicable to various forms of wealth. It is more inclusive and general than the other options, which are limited to housing wealth only. The phrase ""Deriving from specific forms of wealth"" clearly communicates that there is a derivation or source relationship, which is semantically relevant to both given phrases."
15,15,"- green bonds purpose
- percentage issued as green bonds
- amount issued in green bonds",amount issued in green bonds,Green bonds issuance and purpose details,green bonds purpose,Green bonds issuance and purpose details,CoT,"This label encompasses both the financial aspect of the green bonds (issuance, amount, percentage) and the non-financial aspect (purpose). It is broad enough to cover all the given phrases semantically, providing a clear and comprehensive understanding of what the relation phrases are about. The other two labels are more narrow and only cover part of the semantic range of the phrases. ""Amount issued in green bonds"" focuses solely on the financial metric, while ""green bonds purpose"" only addresses the intent behind the bonds, leaving out the quantitative aspects."
16,16,"- hoarded
- hoard",hoarded,Accumulate secretly,hoarded,Accumulate secretly,CoT,"The phrases ""hoarded"" and ""hoard"" both imply the act of accumulating or collecting items in a secretive or careful manner, often excessively. The label ""Accumulate secretly"" captures the essence of both terms, providing a clear and broad semantic understanding of the action described by the phrases. It generalizes the concept to include the secretive aspect, which is a common connotation of hoarding behavior. This label is more descriptive and inclusive than simply using ""hoarded,"" which is a specific tense of the verb and does not by itself convey the secretive nature of the action."
17,17,"- state of in construction sector
- state of recruitment",state of recruitment,"""State of a sector/process""",state of in construction sector,"""State of a sector/process""",CoT,"This label is the most inclusive and generalizable among the options provided. It captures the essence of both phrases by referring to the ""state of"" something, which can be applied to various sectors or processes, including the construction sector and recruitment. It is clear and broad enough to encompass a wide range of similar phrases that may relate to the condition or status of different sectors or processes within a knowledge graph."
18,18,"- most acute for
- most acute at the moment",most acute for,"""Peak intensity at a specific time""",most acute for,"""Peak intensity at a specific time""",CoT,"The proposed label ""Peak intensity at a specific time"" captures the essence of both phrases, indicating not only the high level of intensity (implied by ""most acute"") but also the temporal aspect (""at the moment"" and ""for""). It is clear and provides a broad semantic coverage that is applicable to various contexts where these phrases might be used. The other two labels, ""most acute for,"" do not explicitly capture the temporal element, which is a significant part of the meaning in the given phrases."
19,19,"- is subject of public trust
- context of public trust",context of public trust,Pertains to the concept of public trust,is subject of public trust,Pertains to the concept of public trust,CoT,"The label ""Pertains to the concept of public trust"" is the most inclusive and flexible, covering both the notion of being a subject within the context of public trust and the broader context itself. It captures the essence of both phrases by indicating a relationship to the overarching idea of public trust without limiting the scope to either being a subject or the context specifically. This makes it more universally applicable to various instances that may relate to the concept of public trust in a knowledge graph."
