Relation Phrase,Cluster ID
are people not actively searching for work due to,0
are people not started searching for work because of,0
share increase expected after Dutch transition to,1
share increase expected after Dutch transition from,1
scepticism remained minority attitude in,2
scepticism towards policymaking,2
data location old scheme,3
data location enhanced scheme,3
claim pension while working,4
work and claim pensions,4
suggests role as financial centres,5
size in financial centres,5
members sharing dense matrix of trade,6
share a dense matrix of bilateral trade with,6
became intermediaries in,7
are intermediators in,7
included commercial papers in,8
continued trades with corporate commercial paper,8
euro area HICP with without OOH related,9
euro area HICPX 2012 to 2020,9
has median return on common equity,10
return on common equity hovers around,10
has ECR level nearly three times of,11
ECR covers,11
national ETS covers,11
roadmap includes,12
has roadmap outlined by,12
transfer fraction is three times of,13
transfer factor is ten times of,13
out of financial wealth found as,14
out of housing wealth in,14
amount issued in green bonds,15
green bonds purpose,15
percentage issued as green bonds,15
hoarded,16
hoard,16
state of in construction sector,17
state of recruitment,17
most acute for,18
most acute at the moment,18
context of public trust,19
is subject of public trust,19
has highest corporate debt,20
has high corporate debt in,20
living standards drifted away from,21
living standards deteriorate less or same,21
exemption profit margin criterion,22
profit margin criterion less than,22
paves way for,23
paves the way for,23
forward curve,24
implied by latest forward curve,24
had carbon tax since,25
sets carbon price in,25
time when subsidies and capital injections exceeded,26
cause for subsidies and capital injections to exceed,26
paralysed,27
has paralysed,27
paralyzed,27
mindful about,28
mindful due to,28
with ICL size,29
receives ICL from,29
related to ICL,29
of ICPFs in 2016,30
of ICPFs by end of 2022,30
has wage indexation system,31
has percentage of employees under indexation system,31
should be given responsibility for AML tasks,32
responsibility for AML tasks should be in,32
adjusts number of recipients based on,33
assumes constant number of recipients at,33
effective in damping employment losses compared to,34
no employment losses during,34
to decarbonise,35
help to decarbonise,35
weak investment sentiment may be caused by,36
time of investment sentiment deterioration,36
R04,37
R4,37
R11,38
R10,38
R5,39
R05,39
R01,40
R1,40
R9,41
R09,41
R19,42
R18,42
R20,42
R2,43
R02,43
R03,44
R3,44
R8,45
R08,45
R14,46
R15,46
R17,46
R16,46
R13,47
R12,47
R07,48
R7,48
R06,49
R6,49
cash infrastructure issues mentioned,50
cash infrastructure has deteriorated,50
rise in temporary employment contributed to,51
temporary employment above trend,51
called for stronger coordination of,52
called for stronger surveillance under,52
proclaimed embargo in,53
announced embargo on,53
embargoed,54
has embargoed,54
prefer WFH days,55
prefer more WFH days than,55
difficulty in passing costs due to,56
pass costs onto,56
ability to pass costs due to,56
need to pay premium relative to,57
traded at premium relative to,57
is inelastic to,58
inelasticity in response to,58
inelastic due to,58
inflenced by,58
inelastic to,58
relatively inelastic to,58
is inelastic in,58
experienced stronger trade dynamics,59
experienced strong house price dynamics,59
aggravates,60
AGGRAVATE,60
has large FTZs count,61
percentage through FTZs,61
for the next two years,62
in the next two years,62
casts a shadow over,63
casts shadow,63
casting a shadow over,63
generate revenues for,64
funnel revenues to,64
has duty rate after action,65
has duty rate in region after action,65
no need to catch up from perspective,66
tackled effectively without,66
escalate without,66
without scaling up,66
reduced infection pace in,67
reduced new infections in,67
advocated approach to deepen,68
negotiates deepening of,68
agreed to cut production for,69
agreed to cut production by,69
announced production cut by,70
announced production cut for,70
disinvesting from,71
disinvestments made by,71
start disinvesting during,71
had largest net disinvestments in,71
disinvesting time,71
start disinvesting,71
begin divest time,72
begin divest,72
had bidders,73
bid from,73
intervene on,74
receives intervention through,74
type of intervention in,74
offer backstop for,75
offer backstop against,75
acted as a backstop against,75
hamper,76
hampering,76
may hamper,76
if hamper,76
considered as concrete concerns of citizens,77
concern with prevalence among citizens,77
allows decomposition of,78
decomposed into,78
can be decomposed into,78
refused payments from,79
refusing to accept cash,79
spanning from,80
spanning to,80
initial step of reformation,81
proposal for reformation,81
curtailed pipeline supplies to,82
cut off gas supplies due to,82
halted gas deliveries to,82
cut gas supplies to,82
cut gas supplies in,82
uses inflation in negotiations,83
used in wage negotiations,83
left footprint in,84
left footprint on,84
sovereign bond spread increased by,85
see increase in sovereign bond yields,85
sovereign bond spreads widened by,85
Stronger for higher share of bond finance,86
Have stronger transmission for higher share of bond finance,86
Stronger for lower share of bond finance,86
compared with historical issuers in bonds,87
bond holdings compared to,87
reabsorbed,88
could be reabsorbed easily for,88
rerouted in,88
suggest about straightforwardness of reabsorbing,88
found regarding households,89
allows households to draw on,89
suggested spending by households,89
households might readjust to,89
could lead to action by households,89
use in counterfactual calculations,90
reported in studies with counterfactuals median and range,90
imposition of counterfactual,90
group,91
has shape for group,91
size change without,92
response larger without,92
works asymmetrically for,93
has asymmetries against,93
observe asymmetries at,93
disentangle transactions by,94
disentangles,94
